Campaign,Day,Cost (micros),Currency,Impr.,Clicks
Search - Brand,2026-06-15,94980000,USD,23675,268
Search - Brand,2026-06-16,103580000,USD,36039,1205
Search - Brand,2026-06-17,90030000,USD,26874,273
Search - Brand,2026-06-18,56870000,USD,16133,269
Search - Brand,2026-06-19,72030000,USD,14544,494
Search - Brand,2026-06-20,114190000,USD,36317,1222
Search - Brand,2026-06-21,125970000,USD,42999,656
Search - Generic,2026-06-15,164370000,USD,59420,1230
Search - Generic,2026-06-16,291510000,USD,116562,1503
Search - Generic,2026-06-17,277750000,USD,92309,1964
Search - Generic,2026-06-18,174980000,USD,46109,783
Search - Generic,2026-06-19,295390000,USD,113977,1926
Search - Generic,2026-06-20,300280000,USD,74821,2508
Search - Generic,2026-06-21,325220000,USD,101476,2057
Display Remarketing,2026-06-15,59610000,USD,15354,525
Display Remarketing,2026-06-16,64629999,USD,19615,680
Display Remarketing,2026-06-17,78830000,USD,24454,468
Display Remarketing,2026-06-18,52500000,USD,14008,398
Display Remarketing,2026-06-19,77020000,USD,27911,376
Display Remarketing,2026-06-20,72760000,USD,29296,580
Display Remarketing,2026-06-21,81100000,USD,16961,581
YouTube Prospecting,2026-06-15,163060000,USD,38715,475
YouTube Prospecting,2026-06-16,156100000,USD,48787,513
YouTube Prospecting,2026-06-17,209070000,USD,83440,1707
YouTube Prospecting,2026-06-18,104100000,USD,39528,848
YouTube Prospecting,2026-06-19,175990000,USD,53171,817
YouTube Prospecting,2026-06-20,190170000,USD,78969,1151
YouTube Prospecting,2026-06-21,156150000,USD,42482,1397
Performance Max - All,2026-06-15,312040000,USD,122019,3822
Performance Max - All,2026-06-16,254510000,USD,94067,1806
Performance Max - All,2026-06-17,417690000,USD,126082,3801
Performance Max - All,2026-06-18,256140000,USD,64458,1537
Performance Max - All,2026-06-19,433730000,USD,129040,1550
Performance Max - All,2026-06-20,319570000,USD,83992,1923
Performance Max - All,2026-06-21,320770000,USD,92793,1548
