campaign_name,date,spend_usd,impressions,clicks
Summer Sale,06/01/2026,200.08,37215,574
Summer Sale,06/02/2026,140.14,49995,1313
Summer Sale,06/03/2026,236.47,47498,921
Summer Sale,06/04/2026,112.29,26104,565
Summer Sale,06/05/2026,111.82,25463,650
Summer Sale,06/06/2026,186.47,43429,1038
Summer Sale,06/07/2026,224.56,40771,1213
Brand Awareness Q2,2026-06-01,139.02,36375,443
Brand Awareness Q2,06/02/2026,163.89,42739,448
Brand Awareness Q2,06/03/2026,81.28,31162,757
brand awareness q2,06/04/2026,149.48,53085,1193
Brand Awareness Q2,06/05/2026,165.42,44803,1026
Brand Awareness Q2,06/06/2026,151.62,49798,1556
Brand Awareness Q2,06/07/2026,127.43,44485,410
Retargeting - US,06/01/2026,74.32,18539,188
Retargeting - US,06/02/2026,74.69,15254,236
Retargeting - US,06/03/2026,105.31,28176,507
Retargeting - US,06/04/2026,72.92,17797,592
retargeting - us,06/05/2026,106.25,34657,437
Retargeting - US,06/06/2026,112.41,24642,449
Retargeting - US,06/07/2026,132.20,44101,1015
App Install Push,06/31/2026,241.02,92138,2667
App Install Push,06/02/2026,164.48,30873,509
App Install Push,06/03/2026,170.98,39434,1319
App Install Push,06/04/2026,273.23,69816,1794
App Install Push,06/05/2026,192.47,76890,1567
App Install Push,06/06/2026,170.50,40781,944
app install push,06/07/2026,170.14,54495,1756
Lead Gen Webinar,06/01/2026,55.17,12834,448
Lead Gen Webinar,06/02/2026,60.46,12201,113
Lead Gen Webinar,06/03/2026,41.26,13640,400
Lead Gen Webinar,06/04/2026,56.26,10984,201
Lead Gen Webinar,06/05/2026,83.81,25728,880
Lead Gen Webinar,06/06/2026,77.32,14130,388
Lead Gen Webinar,06/07/2026,68.72,21225,322
